NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,To_ID,From_ID,Total_Kilometers,Total_Minutes,From_Agency,From_Fire_Name,From_Latitude,From_Longitude,From_Hectares__Ha_,From_Stage_of_Control,From_Time_Zone,From_GlobalID,From_Start_Date,To_CUSTODIAN_ORG_DESCRIPTION,To_BUSINESS_CATEGORY_CLASS,To_BUSINESS_CATEGORY_DESCRIPTIO,To_OCCUPANT_TYPE_DESCRIPTION,To_SOURCE_DATA_ID,To_SUPPLIED_SOURCE_ID_IND,To_FACILITY_NAME,To_DESCRIPTION,To_PHYSICAL_ADDRESS,To_MAILING_ADDRESS,To_STREET_ADDRESS,To_POSTAL_CODE,To_LOCALITY,To_CONTACT_PHONE,To_CONTACT_EMAIL,To_CONTACT_FAX,To_WEBSITE_URL,To_IMAGE_URL,To_LATITUDE,To_LONGITUDE,To_KEYWORDS,To_DATE_UPDATED,To_SITE_GEOCODED_IND,To_RESPONDER_FACILITY_TYPE,To_RESPONDER_GROUP_TYPE,To_SE_ANNO_CAD_DATA,RouteLayerItemID,RouteLayerItemURL
1,Location 99 - Location 550,,,,,2841,185,14.41706687,20.67663481,bc,2023-VA2625,52.2844,-126.421,2.16,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-08 03:48:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1890,N,Noosatsum Fire Dept,,"2644 Gibbs Rd, Hagensborg, BC","2644 Gibbs Rd, Hagensborg, BC",2644 Gibbs Rd,,Hagensborg,,,,,,52.3988459,-126.484069,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 101 - Location 23,,,,,2585,187,185.13417244,220.18496849,bc,2023-G81530,57.429,-120.2,6108.9,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-11 04:41:00.000001,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2038,N,Fort St John Fire Dept,,"9312 93 Ave, Fort St John, BC","9312 93 Ave, Fort St John, BC",9312 93 Ave,,Fort St John,,,,,,56.2393868,-120.8351409,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 103 - Location 359,,,,,1345,189,140.55664268,160.6270173,bc,2023-G33441,53.7464,-120.397,0.2,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-10-24 19:46:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1921,N,Mcbride Fire Dept,,"875 South West Frontage Rd, McBride, BC","875 South West Frontage Rd, McBride, BC",875 South West Frontage Rd,,McBride,,,,,,53.3035003,-120.1630835,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 105 - Location 107,,,,,1931,203,47.25075071,41.42450234,bc,2023-V82535,49.732,-125.687,0.01,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-06 21:58:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1568,N,Gold River Vol Fire Dept,,"499 Muchalat Dr, Gold River, BC","499 Muchalat Dr, Gold River, BC",499 Muchalat Dr,,Gold River,,,,,,49.7806033,-126.0475636,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 106 - Location 107,,,,,1931,204,47.25075071,41.42450234,bc,2023-V82531,49.7344,-125.681,0.01,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-06 21:52:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1568,N,Gold River Vol Fire Dept,,"499 Muchalat Dr, Gold River, BC","499 Muchalat Dr, Gold River, BC",499 Muchalat Dr,,Gold River,,,,,,49.7806033,-126.0475636,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 107 - Location 492,,,,,1693,208,64.81760837,93.0662118,bc,2023-G51344,54.7485,-123.871,5219.6,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 02:16:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1982,N,Fort St James Vol Fire Dept,,"374 Manson St, Fort St James, BC","374 Manson St, Fort St James, BC",374 Manson St,,Fort St James,,,,,,54.445157,-124.2563978,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 110 - Location 388,,,,,1391,211,39.43670249,49.48369282,bc,2023-V12722,49.1088,-121.266,1517.7,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-13 19:43:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1485,N,Hope Fire Dept Hall 2,,"63610 Old Yale Rd, Hope, BC","63610 Old Yale Rd, Hope, BC",63610 Old Yale Rd,,Hope,,,,,,49.355554,-121.4697047,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 112 - Location 87,,,,,1863,216,46.62376598,65.52439487,bc,2023-G92729,59.2618,-122.485,125.0,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-08-13 23:08:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00:28,,HALL,FIRE,,,
1,Location 116 - Location 550,,,,,2841,222,38.85650038,35.98487747,bc,2023-VA1306,52.3272,-126.082,115.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 21:25:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1890,N,Noosatsum Fire Dept,,"2644 Gibbs Rd, Hagensborg, BC","2644 Gibbs Rd, Hagensborg, BC",2644 Gibbs Rd,,Hagensborg,,,,,,52.3988459,-126.484069,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 120 - Location 105,,,,,1927,226,47.21159964,57.85116033,bc,2023-R11378,54.342,-125.293,1400.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 16:48:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1970,N,Burns Lake Fire Dept,,"7 3rd Ave, Burns Lake, BC","7 3rd Ave, Burns Lake, BC",7 3rd Ave,,Burns Lake,,,,,,54.230184,-125.7644607,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 121 - Location 105,,,,,1927,227,47.21159964,57.85116033,bc,2023-R11274,54.4547,-125.276,428.0,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 15:28:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1970,N,Burns Lake Fire Dept,,"7 3rd Ave, Burns Lake, BC","7 3rd Ave, Burns Lake, BC",7 3rd Ave,,Burns Lake,,,,,,54.230184,-125.7644607,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 122 - Location 515,,,,,3009,228,52.13827001,73.5038107,bc,2023-G41466,53.659,-123.784,262.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-10 04:28:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1938,N,Saik'uz Fire Dept,,"530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC","530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC",530 Kenney Dam Rd,,Stony Creek Saik'uz IR,,,,,,53.9429514,-124.1090557,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
